1452508	1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Caldimonas	Caldimonas caldifontis
1453594	1	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium rhinocerotis
146938	1	Bacteria	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azovibrio	Azovibrio restrictus
1476959	1	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	Marinobacterium mangrovicola
1477105	3	Bacteria	Bacteroidota	Bacteroidia	Marinilabiliales	Marinilabiliaceae	Labilibacter	Labilibacter marinus
1478	1	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Peribacillus	Peribacillus simplex
148	1	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta	Sediminispirochaeta bajacaliforniensis
1485204	1	Bacteria	Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Salinithrix	Salinithrix halophila
148813	12	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Sulfuricurvum	Sulfuricurvum kujiense
149	5	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	Spirochaeta halophila
1495	1	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium cylindrosporum
1495200	1	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Fulvimonas	Fulvimonas yonginensis
1498	1	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Hathewaya	Hathewaya histolytica
1499680	1	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus rubiinfantis
150	8	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	Spirochaeta isovalerica
151	1	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Oceanispirochaeta	Oceanispirochaeta litoralis
1510391	1	Bacteria	Thermodesulfobacteriota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter	Geobacter soli
1515	1	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio thermocellus
1517	1	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacterium	Thermoanaerobacterium thermosaccharolyticum
1517763	2	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter lacunae
1524258	1	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Aliamphritea	Aliamphritea ceti
1524460	3	Bacteria	Bacteroidota	Saprospiria	Saprospirales	Haliscomenobacteraceae	Phaeodactylibacter	Phaeodactylibacter xiamenensis
152706	13	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus	Cycloclasticus spirillensus
153026	2	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulforegulaceae	Desulforegula	Desulforegula conservatrix
1536	1	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Hathewaya	Hathewaya limosa
1536901	1	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Novipirellula	Novipirellula caenicola
1537567	2	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XII. Incertae Sedis	Fusibacter	Fusibacter fontis
1541063	7	Bacteria	Bacteroidota	Bacteroidia	Marinilabiliales	Prolixibacteraceae	Prolixibacter	Prolixibacter denitrificans
154288	1	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Turicibacteraceae	Turicibacter	Turicibacter sanguinis
1543721	3	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Sedimenticola	Sedimenticola thiotaurini
1544798	4	Bacteria	Bacteroidota	Bacteroidia	Marinilabiliales	Prolixibacteraceae	Draconibacterium	Draconibacterium sediminis
1548207	2	Bacteria	Verrucomicrobiota	Opitutia	Opitutales	Opitutaceae	Cephaloticoccus	Cephaloticoccus primus
1548455	2	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea	Haliea atlantica
1548547	73	Bacteria	Pseudomonadota	Gammaproteobacteria	Woeseiales	Woeseiaceae	Woeseia	Woeseia oceani
1548890	1	Bacteria	Bacillota	Tissierellia	Tissierellales	Thermohalobacteraceae	Brassicibacter	Brassicibacter thermophilus
155077	4	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio japonicus
1556	1	Bacteria	Bacillota	Tissierellia	Tissierellales	Gottschalkiaceae	Gottschalkia	Gottschalkia acidurici
1560324	1	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Arenimicrobiaceae	Arenimicrobium	Arenimicrobium luteum
1563157	1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas endophytica
1563681	3	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Roseivirgaceae	Roseivirga	Roseivirga misakiensis
1566026	45	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Roseivirgaceae	Roseivirga	Roseivirga seohaensis
156994	1	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Reichenbachiellaceae	Reichenbachiella	Reichenbachiella agariperforans
1570281	39	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	Marimicrobium	Marimicrobium arenosum
1571	1	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina ureae
1571185	1	Bacteria	Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Marinithermofilum	Marinithermofilum abyssi
