Species,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24
Streptococcus canis,10,0,0,0,0,1,0,0,3,0,0,13,1,0,5,0,72,3,1,7,65,0,0,0
Streptococcus chenjunshii,11,0,0,0,0,1,0,0,9,0,0,7,1,0,1,0,2,2,0,4,9,0,0,0
Streptococcus chosunense,157,0,0,0,1,3,3,0,22,0,0,120,5,0,22,0,42,9,8,56,26,0,0,0
Streptococcus constellatus,238,5,0,0,2,1798,4863,0,3,0,0,879,7,0,26246,4,391,33,33,442,140,2,0,0
Streptococcus criceti,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Streptococcus cristatus,54,1,0,0,5,3,3,0,93,0,0,587,10,0,0,0,42,12,39,270,4,0,0,0
Streptococcus cuniculi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Streptococcus cuniculipharyngis,16,0,0,0,0,0,0,0,5,0,0,42,2,0,0,1,42,1,1,22,8,0,0,0
Streptococcus danieliae,21,0,0,0,0,1,2,0,7,0,0,86,1,0,6,0,16,3,1,18,2,0,0,0
Streptococcus dentapri,41,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0
Streptococcus dentasini,2,0,0,0,0,3,1,0,68,0,0,39,6,0,1,0,2,0,0,36,4,0,0,0
Streptococcus dentiloxodontae,144,1,0,0,0,0,3,1,10,0,0,0,0,0,1,0,2,10,0,10,0,0,0,0
Streptococcus dentirousetti,21,2,0,0,0,12,3,0,3,0,0,6,0,0,12,0,99,1,0,53,0,0,0,0
Streptococcus devriesei,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0
Streptococcus downei,206,1,0,0,0,3,1,0,1,0,0,38,0,0,9,0,14,16,4,741,36,0,0,0
Streptococcus dysgalactiae,2,0,0,0,0,2,3,0,2,0,0,62,14,0,11,0,1,3589,3,7,1090,0,0,0
Streptococcus entericus,19,0,0,0,0,1,2,0,0,0,0,26,1,0,6,0,8,4,0,5,15,0,0,0
Streptococcus equi,270,0,0,0,0,0,0,0,11,0,0,7,0,0,5,0,18,20,1,17,3,0,0,0
Streptococcus equinus,343,0,0,0,7,0,2,0,41,0,0,5,1,0,4,0,9,24,0,97,5,0,0,0
Streptococcus ferus,63,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,8,0,14,4,0,0,0
Streptococcus gallinaceus,6,0,0,0,0,1,1,0,34,0,0,11,6,1,30,0,8,1,11,17,353,0,0,0
Streptococcus gallolyticus,32,0,0,0,1,0,0,0,3,0,0,13,0,0,2,0,3,2,1,4,2,0,0,0
Streptococcus gordonii,393,2,0,0,139,6,8,0,103,0,0,284,264,0,18,0,320,34,28,7320,8,0,0,0
Streptococcus gwangjuense,1,0,0,0,0,0,0,0,1,0,0,18,0,0,9,0,4,0,1,9,2,0,0,0
Streptococcus halotolerans,15,0,0,0,0,0,3,0,39,0,0,3,3,0,1,0,0,3,0,4,0,0,0,0
Streptococcus henryi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0
Streptococcus himalayensis,16,0,0,0,1,20,5,1,4,0,0,408,0,0,498,0,84,4,24,20,10,0,0,0
Streptococcus hongkongensis,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0
Streptococcus infantarius,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus infantis,34,0,0,0,0,0,0,0,1,0,0,124,1,0,4,3,4,20,9,237,8,0,0,0
